Nome,ALG FTP,FM 23-24,FM 22-23,FM 21-22,attributi,Res. Inf.
FOFANA,79/100,6.24,nd,nd,"['Titolare', 'Buona Media', 'Assistman']",60%
DIMARCO,95/100,6.83,7.25,6.70,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Piazzati']",60%
VANDEPUTTE,57/100,nd,nd,nd,['Panchinaro'],60%
KRSTOVIC,91/100,6.90,6.32,nd,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60%
NZOLA,78/100,nd,6.13,7.39,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60%
SARO,39/100,nd,nd,nd,['Panchinaro'],20%
ILIC,58/100,5.93,6.41,6.34,['Titolare'],60%
TAREMI,65/100,6.21,nd,nd,"['Panchinaro', 'Buona Media', 'Assistman']",40%
PAVOLETTI,44/100,6.61,7.04,nd,['Panchinaro'],60%
ROBERTO,54/100,5.77,nd,nd,"['Titolare', 'Buona Media', 'Assistman']",20%
DUMFRIES,80/100,7.02,6.57,6.00,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60%
N/A,N/A,N/A,N/A,N/A,[],N/A
SERDAR,62/100,6.05,5.95,nd,"['Titolare', 'Piazzati', 'Falloso']",60%
HERNANI,69/100,6.46,nd,nd,"['Panchinaro', 'Buona Media']",60%
PIOTROWSKI,59/100,nd,nd,nd,"['Outsider', 'Titolare']",60%
PAZ,80/100,6.89,nd,nd,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati', 'Giovane talento']",60%
SALAH-EDDINE,52/100,6.00,nd,nd,['Panchinaro'],60%
PELLEGRINI,78/100,5.89,6.91,6.33,"['Titolare', 'Buona Media', 'Assistman', 'Piazzati']",60%
ZEMURA,59/100,6.00,6.00,nd,['Panchinaro'],60%
BENNACER,65/100,5.50,6.56,6.46,['Panchinaro'],40%
MARUSIC,81/100,6.17,5.74,5.92,"['Titolare', 'Assistman']",60%
RADUNOVIC,45/100,nd,4.00,nd,['Panchinaro'],60%
AEBISCHER,59/100,5.67,5.90,5.90,"['Titolare', 'Buona Media', 'Falloso']",40%
KASTANOS,59/100,5.75,6.33,6.20,"['Titolare', 'Falloso']",60%
PERRONE,71/100,5.94,nd,nd,"['Titolare', 'Falloso']",60%
CASADEI,63/100,6.27,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",80%
SARR,58/100,6.29,nd,nd,['Titolare'],60%
THURAM,79/100,6.75,nd,nd,"['Titolare', 'Buona Media', 'Falloso']",80%
KALULU,74/100,6.04,5.83,5.78,"['Outsider', 'Titolare']",60%
NOSLIN,58/100,6.42,6.97,nd,['Titolare'],60%
TROILO,59/100,nd,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Piazzati', 'Falloso', 'Giovane talento']",80%
ALMQVIST,61/100,5.67,6.16,nd,['Titolare'],60%
VITINHA,64/100,6.29,7.00,nd,"['Titolare', 'Buona Media', 'Assistman', 'Piazzati']",40%
PRATI,50/100,5.80,5.94,nd,"['Titolare', 'Piazzati', 'Giovane talento']",60%
VOJVODA,73/100,6.04,5.92,5.98,"['Panchinaro', 'Buona Media']",60%
NIASSE,49/100,5.32,nd,nd,"['Titolare', 'Falloso']",60%
RUGANI,56/100,nd,6.46,6.00,"['Panchinaro', 'Buona Media']",80%
MARIANUCCI,58/100,nd,nd,nd,"['Panchinaro', 'Buona Media']",60%
MAZZITELLI,56/100,6.50,6.54,nd,"['Panchinaro', 'Assistman', 'Falloso']",40%
SAMOOJA,43/100,nd,nd,nd,"['Outsider', 'Panchinaro']",80%
N/A,N/A,N/A,N/A,N/A,[],N/A
PARISI,75/100,6.22,5.64,6.14,"['Panchinaro', 'Buona Media', 'Assistman']",60%
BAILEY,73/100,nd,nd,nd,"['Outsider', 'Titolare', 'Buona Media']",80%
SULEMANA,69/100,7.08,6.13,5.77,"['Panchinaro', 'Giovane talento']",80%
LIVRAMENTO,61/100,5.90,nd,nd,"['Titolare', 'Giovane talento']",60%
LANG,80/100,nd,nd,nd,"['Titolare', 'Goleador', 'Assistman']",60%
NELSSON,50/100,6.00,nd,nd,['Titolare'],60%
BERARDI,83/100,nd,8.06,8.10,"['Fuoriclasse', 'Titolare', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",40%
PEDRO,78/100,7.33,6.00,6.53,"['Panchinaro', 'Goleador', 'Rigorista']",40%
CASTAGNETTI,45/100,nd,nd,5.88,['Panchinaro'],60%
SIMEONE,62/100,6.11,5.83,7.33,"['Outsider', 'Titolare', 'Goleador']",60%
NGONGE,55/100,5.67,6.87,6.73,"['Outsider', 'Titolare', 'Buona Media', 'Goleador']",80%
KOSTIC,77/100,nd,6.00,6.60,"['Panchinaro', 'Assistman', 'Falloso']",40%
TAVARES,67/100,6.52,nd,nd,"['Titolare', 'Assistman']",40%
LEZZERINI,47/100,nd,nd,nd,['Panchinaro'],60%
PERIN,57/100,5.50,5.50,6.05,"['Panchinaro', 'Buona Media']",60%
ROVELLA,75/100,6.02,6.08,6.16,"['Panchinaro', 'Buona Media', 'Piazzati', 'Giovane talento']",60%
GABBIA,75/100,6.04,6.30,5.39,['Panchinaro'],60%
VASQUEZ,73/100,6.22,6.17,5.76,"['Titolare', 'Buona Media', 'Falloso']",80%
BERNEDE,54/100,5.96,nd,nd,"['Titolare', 'Buona Media']",40%
MIRANDA,70/100,6.16,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",60%
SAELEMAEKERS,83/100,7.36,6.54,6.17,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",80%
CANDÈ,59/100,5.84,nd,nd,"['Panchinaro', 'Falloso']",60%
LUKAKU,93/100,7.64,7.26,7.66,"['Fuoriclasse', 'Titolare', 'Goleador', 'Rigorista']",40%
OKEREKE,69/100,nd,5.75,6.52,"['Titolare', 'Goleador', 'Rigorista']",60%
De Roon,84/100,6.60,5.97,6.26,"['Titolare', 'Buona Media']",80%
CIOCCI,39/100,6.00,nd,nd,"['Panchinaro', 'Giovane talento']",60%
MAZZOCCHI,66/100,5.65,5.64,6.46,"['Panchinaro', 'Assistman', 'Falloso']",60%
HELGASON,63/100,6.25,nd,5.79,"['Titolare', 'Piazzati']",40%
HASA,57/100,nd,nd,nd,"['Panchinaro', 'Assistman', 'Falloso', 'Giovane talento']",60%
IKONÈ,70/100,6.20,6.13,6.43,['Panchinaro'],60%
SOTTIL,56/100,6.12,6.44,6.06,"['Titolare', 'Assistman', 'Falloso']",40%
GATTI,68/100,6.22,6.11,5.81,['Titolare'],40%
FRUCHTL,42/100,nd,nd,nd,['Panchinaro'],60%
CONCEICAO,74/100,6.50,nd,nd,"['Outsider', 'Titolare', 'Piazzati', 'Falloso', 'Giovane talento']",60%
ANJORIN,70/100,6.57,nd,nd,"['Outsider', 'Titolare', 'Assistman']",60%
CHARPENTIER,53/100,6.67,nd,nd,['Panchinaro'],60%
STANCIU,58/100,nd,nd,nd,"['Titolare', 'Buona Media']",60%
ROG,45/100,nd,nd,nd,"['Panchinaro', 'Falloso']",20%
VAN,59/100,5.94,nd,nd,"['Panchinaro', 'Assistman', 'Giovane talento']",40%
OKOYE,64/100,4.46,4.82,nd,"['Outsider', 'Titolare']",40%
MARI',76/100,5.77,5.85,5.97,['Titolare'],60%
FOLINO,54/100,nd,nd,nd,"['Panchinaro', 'Goleador', 'Giovane talento']",60%
HOJHOLT,47/100,nd,nd,nd,['Panchinaro'],80%
ZIELINSKI,74/100,6.34,6.33,6.72,"['Outsider', 'Titolare', 'Buona Media', 'Goleador']",60%
LERIS,57/100,nd,nd,5.80,['Panchinaro'],60%
PERILLI,38/100,nd,nd,nd,['Panchinaro'],80%
N/A,N/A,N/A,N/A,N/A,[],N/A
ZARRAGA,59/100,5.94,6.93,nd,"['Panchinaro', 'Buona Media']",60%
