Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,Rigori,RigoriParati,Assist,Ammonizioni,Espulsioni
Gaspar K.,LEC,24.0,6.17,6.15,0.0,0.0,0 / 0,0.0,1.0,3.0,0.0
Tete Morente,LEC,30.0,5.87,6.15,3.0,0.0,0 / 0,0.0,2.0,5.0,0.0
Gytkjaer,VEN,17.0,5.79,6.15,2.0,0.0,1 / 1,0.0,0.0,0.0,0.0
Pasalic,ATA,33.0,5.91,6.14,3.0,0.0,0 / 1,0.0,2.0,1.0,0.0
Deiola,CAG,25.0,5.98,6.14,2.0,0.0,0 / 0,0.0,1.0,6.0,0.0
Baldanzi,ROM,21.0,6.0,6.14,1.0,0.0,0 / 0,0.0,1.0,2.0,0.0
Holm,BOL,16.0,5.94,6.12,1.0,0.0,0 / 0,0.0,1.0,3.0,0.0
Ismajli,EMP,29.0,6.17,6.12,0.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Sottil,MIL,21.0,5.95,6.12,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Acerbi,INT,21.0,6.07,6.12,0.0,0.0,0 / 0,0.0,1.0,0.0,0.0
Hysaj,LAZ,8.0,5.88,6.12,0.0,0.0,0 / 0,0.0,3.0,0.0,1.0
Dorgu,LEC,21.0,5.83,6.12,3.0,0.0,0 / 0,0.0,1.0,2.0,1.0
Okafor,NAP,12.0,5.88,6.12,1.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Masina,TOR,24.0,5.96,6.12,1.0,0.0,0 / 0,0.0,3.0,5.0,0.0
Pisilli,ROM,24.0,5.98,6.12,2.0,0.0,0 / 0,0.0,1.0,7.0,0.0
Pellegrini Lu.,LAZ,19.0,6.08,6.11,0.0,0.0,0 / 0,0.0,3.0,5.0,0.0
Simeone,NAP,19.0,5.92,6.11,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Lovric,UDI,35.0,5.96,6.11,2.0,0.0,0 / 0,0.0,2.0,5.0,0.0
Pavlovic,MIL,22.0,5.91,6.11,2.0,0.0,0 / 0,0.0,1.0,3.0,1.0
Zerbin,VEN,18.0,6.0,6.11,1.0,0.0,0 / 0,0.0,1.0,4.0,0.0
De Winter,GEN,24.0,5.85,6.1,3.0,0.0,0 / 0,0.0,0.0,6.0,0.0
Pierotti,LEC,35.0,5.81,6.1,4.0,0.0,0 / 0,0.0,1.0,4.0,1.0
Ekhator,GEN,15.0,5.87,6.1,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Cuadrado,ATA,20.0,6.08,6.1,0.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Karlsson,LEC,17.0,5.82,6.09,2.0,0.0,1 / 1,0.0,0.0,3.0,0.0
Augello,CAG,37.0,5.95,6.09,0.0,0.0,0 / 0,0.0,7.0,3.0,0.0
Ruggeri,ATA,26.0,6.0,6.08,0.0,0.0,0 / 0,0.0,3.0,2.0,0.0
Luperto,CAG,36.0,6.0,6.08,1.0,0.0,0 / 0,0.0,2.0,4.0,0.0
Lazaro,TOR,31.0,5.98,6.08,0.0,0.0,0 / 0,0.0,6.0,6.0,0.0
Viti,EMP,30.0,6.02,6.07,1.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Guendouzi,LAZ,37.0,6.04,6.07,1.0,0.0,0 / 0,0.0,2.0,8.0,0.0
Erlic,BOL,7.0,6.07,6.07,0.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Hainaut,PAR,22.0,5.86,6.07,2.0,0.0,0 / 0,0.0,0.0,3.0,0.0
De Silvestri,BOL,16.0,5.91,6.06,1.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Mina,CAG,31.0,6.06,6.06,1.0,0.0,0 / 0,0.0,0.0,4.0,1.0
Kyriakopoulos,MON,34.0,5.9,6.06,2.0,0.0,0 / 0,0.0,4.0,5.0,0.0
Gilmour,NAP,17.0,6.0,6.06,0.0,0.0,0 / 0,0.0,1.0,0.0,0.0
Obert,CAG,19.0,5.95,6.05,1.0,0.0,0 / 0,0.0,1.0,4.0,0.0
Badelj,GEN,22.0,5.98,6.05,1.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Kalulu,JUV,28.0,6.02,6.05,1.0,0.0,0 / 0,0.0,0.0,2.0,1.0
Olivera,NAP,30.0,6.08,6.05,0.0,0.0,0 / 0,0.0,1.0,4.0,0.0
Haj Mohamed,PAR,11.0,5.91,6.05,1.0,0.0,0 / 0,0.0,0.0,4.0,0.0
Pezzella Giu.,EMP,35.0,6.03,6.04,0.0,0.0,0 / 0,0.0,4.0,7.0,0.0
Colpani,FIO,24.0,5.81,6.04,2.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Frendrup,GEN,35.0,6.0,6.04,2.0,0.0,0 / 0,0.0,0.0,5.0,0.0
De Sciglio,EMP,12.0,5.79,6.04,1.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Fagioli,FIO,24.0,5.92,6.04,1.0,0.0,0 / 0,0.0,2.0,4.0,0.0
